,state,target_variable,num_datapoints,model_embeddings,trial,val_MAE,test_MAE_BG,train_MAE_BG,val_MAE_BG
610,TN,Commute Time,1409,Feat\&BG-LightGCN,0,0.24026749157555932,0.2181695923344086,0.009354832189963207,0.2445954124412473
611,TN,Commute Time,1409,Feat\&BG-LightGCN,1,0.24026749157555932,0.2181695923344086,0.009354832189963207,0.2445954124412473
612,TN,Commute Time,1409,Feat\&BG-LightGCN,2,0.24026749157555932,0.2181695923344086,0.009354832189963207,0.2445954124412473
613,TN,Commute Time,1409,Feat\&BG-LightGCN,3,0.24026749157555932,0.2181695923344086,0.009354832189963207,0.2445954124412473
614,TN,Commute Time,1409,Feat\&BG-LightGCN,4,0.24026749157555932,0.2181695923344086,0.009354832189963207,0.2445954124412473
615,TN,Commute Time,1409,Feat\&BG-LightGCN,5,0.24026749157555932,0.2181695923344086,0.009354832189963207,0.2445954124412473
616,TN,Commute Time,1409,Feat\&BG-LightGCN,6,0.24026749157555932,0.2181695923344086,0.009354832189963207,0.2445954124412473
617,TN,Commute Time,1409,Feat\&BG-LightGCN,7,0.24026749157555932,0.2181695923344086,0.009354832189963207,0.2445954124412473
618,TN,Commute Time,1409,Feat\&BG-LightGCN,8,0.24026749157555932,0.2181695923344086,0.009354832189963207,0.2445954124412473
619,TN,Commute Time,1409,Feat\&BG-LightGCN,9,0.24026749157555932,0.2181695923344086,0.009354832189963207,0.2445954124412473
620,TN,Commute Time,1409,Feat\&BG-RGNN,0,0.2913920585349964,0.2320941149207429,0.014658795096349845,0.2718749230708665
621,TN,Commute Time,1409,Feat\&BG-RGNN,1,0.2913920585349964,0.2320941149207429,0.014658795096349845,0.2718749230708665
622,TN,Commute Time,1409,Feat\&BG-RGNN,2,0.2913920585349964,0.2320941149207429,0.014658795096349845,0.2718749230708665
623,TN,Commute Time,1409,Feat\&BG-RGNN,3,0.2913920585349964,0.2320941149207429,0.014658795096349845,0.2718749230708665
624,TN,Commute Time,1409,Feat\&BG-RGNN,4,0.2913920585349964,0.2320941149207429,0.014658795096349845,0.2718749230708665
625,TN,Commute Time,1409,Feat\&BG-RGNN,5,0.2913920585349964,0.2320941149207429,0.014658795096349845,0.2718749230708665
626,TN,Commute Time,1409,Feat\&BG-RGNN,6,0.2913920585349964,0.2320941149207429,0.014658795096349845,0.2718749230708665
627,TN,Commute Time,1409,Feat\&BG-RGNN,7,0.2913920585349964,0.2320941149207429,0.014658795096349845,0.2718749230708665
628,TN,Commute Time,1409,Feat\&BG-RGNN,8,0.2913920585349964,0.2320941149207429,0.014658795096349845,0.2718749230708665
629,TN,Commute Time,1409,Feat\&BG-RGNN,9,0.2913920585349964,0.2320941149207429,0.014658795096349845,0.2718749230708665
630,FL,Median Income,14414,Emb,0,0.24932722999670914,0.22897057166579005,0.17834473137114137,0.24181172473790294
631,FL,Median Income,14414,Emb,1,0.24932722999670914,0.22897057166579005,0.17834473137114137,0.24181172473790294
632,FL,Median Income,14414,Emb,2,0.24932722999670914,0.22897057166579005,0.17834473137114137,0.24181172473790294
633,FL,Median Income,14414,Emb,3,0.24932722999670914,0.22897057166579005,0.17834473137114137,0.24181172473790294
634,FL,Median Income,14414,Emb,4,0.24932722999670914,0.22897057166579005,0.17834473137114137,0.24181172473790294
635,FL,Median Income,14414,Emb,5,0.24932722999670914,0.22897057166579005,0.17834473137114137,0.24181172473790294
636,FL,Median Income,14414,Emb,6,0.24932722999670914,0.22897057166579005,0.17834473137114137,0.24181172473790294
637,FL,Median Income,14414,Emb,7,0.24932722999670914,0.22897057166579005,0.17834473137114137,0.24181172473790294
638,FL,Median Income,14414,Emb,8,0.24932722999670914,0.22897057166579005,0.17834473137114137,0.24181172473790294
639,FL,Median Income,14414,Emb,9,0.24932722999670914,0.22897057166579005,0.17834473137114137,0.24181172473790294
640,FL,Median Income,14414,LightGCN,0,0.23276754621228918,0.22261855348411128,0.16673530368686218,0.22506444751811694
641,FL,Median Income,14414,LightGCN,1,0.23276754621228918,0.22261855348411128,0.16673530368686218,0.22506444751811694
642,FL,Median Income,14414,LightGCN,2,0.23276754621228918,0.22261855348411128,0.16673530368686218,0.22506444751811694
643,FL,Median Income,14414,LightGCN,3,0.23276754621228918,0.22261855348411128,0.16673530368686218,0.22506444751811694
644,FL,Median Income,14414,LightGCN,4,0.23276754621228918,0.22261855348411128,0.16673530368686218,0.22506444751811694
645,FL,Median Income,14414,LightGCN,5,0.23276754621228918,0.22261855348411128,0.16673530368686218,0.22506444751811694
646,FL,Median Income,14414,LightGCN,6,0.23276754621228918,0.22261855348411128,0.16673530368686218,0.22506444751811694
