,urban_area,target_variable,macroentity,num_datapoints,num_macroentities,num_bg,model_embeddings,trial,train_r2,val_r2,test_r2,train_to_test_r2,train_mae,val_mae,test_mae,train_to_test_mae
343,St. Louis,Median Home Value,zip,2352,43,241,Feat-LightGCN,3,0.9999886155128479,-0.40058135986328125,0.12286925315856934,0.5351871252059937,0.00424761651083827,0.7294332981109619,0.9533296227455139,0.5841450095176697
344,St. Louis,Median Home Value,zip,2352,43,241,Feat-LightGCN,4,0.9999918341636658,-0.32687103748321533,0.18837285041809082,0.5351871252059937,0.003652418265119195,0.72928786277771,0.9052590131759644,0.5841450095176697
345,St. Louis,Median Home Value,zip,2352,43,241,Feat-LightGCN,5,0.9999805688858032,-0.5032994747161865,0.15426230430603027,0.5351871252059937,0.005869437009096146,0.6832194924354553,0.9176657795906067,0.5841450095176697
346,St. Louis,Median Home Value,zip,2352,43,241,Feat-LightGCN,6,0.9999923706054688,-0.9237031936645508,0.07849186658859253,0.5351871252059937,0.003556479001417756,0.7773354649543762,0.9642577171325684,0.5841450095176697
347,St. Louis,Median Home Value,zip,2352,43,241,Feat-LightGCN,7,0.9999843835830688,-0.45080065727233887,0.15413802862167358,0.5351871252059937,0.004880357533693314,0.7256715297698975,0.9154027700424194,0.5841450095176697
348,St. Louis,Median Home Value,zip,2352,43,241,Feat-LightGCN,8,0.9999895691871643,-1.9508287906646729,0.016686856746673584,0.5351871252059937,0.004138946067541838,1.025726079940796,1.0698837041854858,0.5841450095176697
349,St. Louis,Median Home Value,zip,2352,43,241,Feat-LightGCN,9,0.9999912977218628,-0.45936083793640137,0.10436558723449707,0.5351871252059937,0.003979654051363468,0.7532534599304199,0.9258557558059692,0.5841450095176697
350,St. Louis,Median Home Value,zip,2352,43,241,Feat\&PC-LightGCN,0,0.9999945759773254,-1.4018995761871338,0.4506135582923889,0.5351871252059937,0.003069362137466669,0.8094241619110107,0.6810092926025391,0.5841450095176697
351,St. Louis,Median Home Value,zip,2352,43,241,Feat\&PC-LightGCN,1,0.9999954104423523,-1.203885555267334,0.4424135684967041,0.5351871252059937,0.002607994480058551,0.7693789005279541,0.683434784412384,0.5841450095176697
352,St. Louis,Median Home Value,zip,2352,43,241,Feat\&PC-LightGCN,2,0.9999940395355225,-1.1166446208953857,0.4473823308944702,0.5351871252059937,0.0031731952913105488,0.7833095788955688,0.6882091760635376,0.5841450095176697
353,St. Louis,Median Home Value,zip,2352,43,241,Feat\&PC-LightGCN,3,0.9999966025352478,-1.7219593524932861,0.42495834827423096,0.5351871252059937,0.0023644412867724895,0.8747016787528992,0.7146424055099487,0.5841450095176697
354,St. Louis,Median Home Value,zip,2352,43,241,Feat\&PC-LightGCN,4,0.999997079372406,-1.523735523223877,0.4343312978744507,0.5351871252059937,0.00200652820058167,0.8749863505363464,0.7044993042945862,0.5841450095176697
355,St. Louis,Median Home Value,zip,2352,43,241,Feat\&PC-LightGCN,5,0.9999380707740784,-1.429394006729126,0.4250275492668152,0.5351871252059937,0.011383618228137493,0.8582483530044556,0.7018187642097473,0.5841450095176697
356,St. Louis,Median Home Value,zip,2352,43,241,Feat\&PC-LightGCN,6,0.9999951720237732,-1.5448575019836426,0.42997026443481445,0.5351871252059937,0.00279128341935575,0.8495705127716064,0.6858794093132019,0.5841450095176697
357,St. Louis,Median Home Value,zip,2352,43,241,Feat\&PC-LightGCN,7,0.9999966025352478,-1.0832619667053223,0.45088374614715576,0.5351871252059937,0.0024884091690182686,0.7680321335792542,0.6819491982460022,0.5841450095176697
358,St. Louis,Median Home Value,zip,2352,43,241,Feat\&PC-LightGCN,8,0.9999980926513672,-1.465165376663208,0.4355638027191162,0.5351871252059937,0.0017119431868195534,0.8360434770584106,0.6918678879737854,0.5841450095176697
359,St. Louis,Median Home Value,zip,2352,43,241,Feat\&PC-LightGCN,9,0.9999967217445374,-1.1722898483276367,0.4508170485496521,0.5351871252059937,0.002339677419513464,0.7744119167327881,0.6772549152374268,0.5841450095176697
360,St. Louis,Median Home Value,zip,2352,43,241,RGNN,0,0.9993108510971069,-2.883178472518921,-0.12744736671447754,0.5351871252059937,0.04023069143295288,1.0845671892166138,1.1605242490768433,0.5841450095176697
361,St. Louis,Median Home Value,zip,2352,43,241,RGNN,1,0.9777764081954956,-4.336750507354736,-0.18280291557312012,0.5351871252059937,0.22857221961021423,1.1758521795272827,1.1229249238967896,0.5841450095176697
362,St. Louis,Median Home Value,zip,2352,43,241,RGNN,2,0.9954513311386108,-4.882619857788086,-0.3669363260269165,0.5351871252059937,0.08491755276918411,1.2300078868865967,1.2415823936462402,0.5841450095176697
363,St. Louis,Median Home Value,zip,2352,43,241,RGNN,3,0.9998970031738281,-2.568514108657837,-0.027213215827941895,0.5351871252059937,0.011992250569164753,0.9978084564208984,1.0328278541564941,0.5841450095176697
364,St. Louis,Median Home Value,zip,2352,43,241,RGNN,4,0.9998257160186768,-3.576098918914795,0.05664438009262085,0.5351871252059937,0.017072096467018127,0.9327218532562256,0.93458092212677,0.5841450095176697
365,St. Louis,Median Home Value,zip,2352,43,241,RGNN,5,0.9999361038208008,-6.653704643249512,-0.10622942447662354,0.5351871252059937,0.009931228123605251,1.1479352712631226,1.0089821815490723,0.5841450095176697
366,St. Louis,Median Home Value,zip,2352,43,241,RGNN,6,0.9979082345962524,-5.777986526489258,-0.30610501766204834,0.5351871252059937,0.0703306794166565,1.1577972173690796,1.1308391094207764,0.5841450095176697
367,St. Louis,Median Home Value,zip,2352,43,241,RGNN,7,0.999788761138916,-5.94183349609375,-0.2228313684463501,0.5351871252059937,0.018795780837535858,1.1474488973617554,1.1070845127105713,0.5841450095176697
368,St. Louis,Median Home Value,zip,2352,43,241,RGNN,8,0.9997021555900574,-4.175972938537598,-0.03939783573150635,0.5351871252059937,0.02187173254787922,1.1826562881469727,1.0375983715057373,0.5841450095176697
369,St. Louis,Median Home Value,zip,2352,43,241,RGNN,9,0.998469352722168,-2.817758083343506,-0.10096454620361328,0.5351871252059937,0.059573300182819366,1.0135130882263184,1.0925616025924683,0.5841450095176697
