,state,target_variable,num_datapoints,model_embeddings,trial,val_ROCAUC,train_ROCAUC_tract,test_ROCAUC_BG,train_to_test_ROCAUC_BG
182,MO,Commute Time,9292,Feat-RGNN,2,0.6204976465749668,1.0,0.8450608930987822,0.857916102841678
183,MO,Commute Time,9292,Feat-RGNN,3,0.5976939146802382,0.9988056136160047,0.8687415426251691,0.857916102841678
184,MO,Commute Time,9292,Feat-RGNN,4,0.6045760557269718,0.9998507017020006,0.8667117726657646,0.857916102841678
185,MO,Commute Time,9292,Feat-RGNN,5,0.6213328531340506,0.9952971036130189,0.8552097428958052,0.857916102841678
186,MO,Commute Time,9292,Feat-RGNN,6,0.5972336812904305,1.0,0.8734776725304465,0.857916102841678
187,MO,Commute Time,9292,Feat-RGNN,7,0.5946492013126136,1.0,0.8525033829499323,0.857916102841678
188,MO,Commute Time,9292,Feat-RGNN,8,0.6110722822304923,1.0,0.8288227334235454,0.857916102841678
189,MO,Commute Time,9292,Feat-RGNN,9,0.6076612746111816,1.0,0.86468200270636,0.857916102841678
190,MO,Commute Time,9292,Feat\&BG-LightGCN,0,0.969544032742023,1.0,0.8991880920162382,0.857916102841678
191,MO,Commute Time,9292,Feat\&BG-LightGCN,1,0.971545284780579,1.0,0.86468200270636,0.857916102841678
192,MO,Commute Time,9292,Feat\&BG-LightGCN,2,0.9751329037761429,1.0,0.8822733423545331,0.857916102841678
193,MO,Commute Time,9292,Feat\&BG-LightGCN,3,0.9733918996280411,0.9994028068080024,0.9276048714479025,0.857916102841678
194,MO,Commute Time,9292,Feat\&BG-LightGCN,4,0.9664555061027224,0.9999253508510003,0.9100135317997294,0.857916102841678
195,MO,Commute Time,9292,Feat\&BG-LightGCN,5,0.9673884662134786,0.9978351746790086,0.9316644113667119,0.857916102841678
196,MO,Commute Time,9292,Feat\&BG-LightGCN,6,0.9729944637753943,1.0,0.9262516914749661,0.857916102841678
197,MO,Commute Time,9292,Feat\&BG-LightGCN,7,0.978912603922774,1.0,0.9181326116373478,0.857916102841678
198,MO,Commute Time,9292,Feat\&BG-LightGCN,8,0.9710810565489698,1.0,0.8707713125845737,0.857916102841678
199,MO,Commute Time,9292,Feat\&BG-LightGCN,9,0.9734113817629234,1.0,0.8815967523680649,0.857916102841678
200,MO,Commute Time,9292,Feat\&BG-RGNN,0,0.6239066524679391,0.9998507017020006,0.9039242219215156,0.857916102841678
201,MO,Commute Time,9292,Feat\&BG-RGNN,1,0.6278446934329287,1.0,0.8626522327469553,0.857916102841678
202,MO,Commute Time,9292,Feat\&BG-RGNN,2,0.6236043199439444,0.9999253508510003,0.8416779431664412,0.857916102841678
203,MO,Commute Time,9292,Feat\&BG-RGNN,3,0.6086608579932201,0.9999253508510003,0.9025710419485792,0.857916102841678
204,MO,Commute Time,9292,Feat\&BG-RGNN,4,0.6256359846726556,0.9967154374440131,0.939106901217862,0.857916102841678
205,MO,Commute Time,9292,Feat\&BG-RGNN,5,0.6373024805294197,0.9997760525530008,0.9472259810554803,0.857916102841678
206,MO,Commute Time,9292,Feat\&BG-RGNN,6,0.640516076574476,1.0,0.8470906630581867,0.857916102841678
207,MO,Commute Time,9292,Feat\&BG-RGNN,7,0.6302413388899435,0.9996267542550016,0.8755074424898511,0.857916102841678
208,MO,Commute Time,9292,Feat\&BG-RGNN,8,0.6409291700704971,1.0,0.888362652232747,0.857916102841678
209,MO,Commute Time,9292,Feat\&BG-RGNN,9,0.6633277284729903,1.0,0.9106901217861976,0.857916102841678
210,PA,Median Income,29451,Emb,0,0.6320552422047379,0.9673053030798405,0.7933573284101231,0.8224834028744732
211,PA,Median Income,29451,Emb,1,0.6314206602208491,0.9701348804860215,0.7977558950744811,0.8224834028744732
212,PA,Median Income,29451,Emb,2,0.6447238482957096,0.9717161149188875,0.7926105672280115,0.8224834028744732
213,PA,Median Income,29451,Emb,3,0.625093260181746,0.9679413635471963,0.7894842013834985,0.8224834028744732
214,PA,Median Income,29451,Emb,4,0.6343203579579713,0.9652901208514888,0.7907866547885464,0.8224834028744732
215,PA,Median Income,29451,Emb,5,0.6311910995942714,0.9634473288432616,0.7914339008877542,0.8224834028744732
216,PA,Median Income,29451,Emb,6,0.6362791099114933,0.9689103154741028,0.7981842079913,0.8224834028744732
217,PA,Median Income,29451,Emb,7,0.6423463946969413,0.9681850876515102,0.7904100897148375,0.8224834028744732
218,PA,Median Income,29451,Emb,8,0.6425794409984132,0.9670199675430827,0.7876674540300025,0.8224834028744732
219,PA,Median Income,29451,Emb,9,0.6347951636908373,0.9670794124465739,0.7889635384697445,0.8224834028744732
220,PA,Median Income,29451,LightGCN,0,0.7463062496017053,0.9408225985745113,0.7812953042414921,0.8224834028744732
221,PA,Median Income,29451,LightGCN,1,0.751335300683264,0.937297515797483,0.7820548033542156,0.8224834028744732
222,PA,Median Income,29451,LightGCN,2,0.7585720516912511,0.938979806566284,0.7839344442401067,0.8224834028744732
223,PA,Median Income,29451,LightGCN,3,0.7442187935305697,0.937244015384341,0.7811520025221101,0.8224834028744732
224,PA,Median Income,29451,LightGCN,4,0.7468755664184598,0.9394315878328171,0.7839041916549041,0.8224834028744732
225,PA,Median Income,29451,LightGCN,5,0.751451454189516,0.9363404528512748,0.7855776372890182,0.8224834028744732
226,PA,Median Income,29451,LightGCN,6,0.754473681538399,0.9412803243313935,0.7834197522313273,0.8224834028744732
227,PA,Median Income,29451,LightGCN,7,0.7569189757629751,0.9389381951338401,0.7825440195017719,0.8224834028744732
228,PA,Median Income,29451,LightGCN,8,0.7628249816984994,0.9431677000172389,0.7843989806471028,0.8224834028744732
229,PA,Median Income,29451,LightGCN,9,0.7383898277465313,0.9399249805317941,0.7832899845632204,0.8224834028744732
230,PA,Median Income,29451,RGNN,0,0.7050159040804772,0.9535378634312788,0.7890933061378516,0.8224834028744732
231,PA,Median Income,29451,RGNN,1,0.7048093443120876,0.9558562146674355,0.7915373965739743,0.8224834028744732
232,PA,Median Income,29451,RGNN,2,0.7152683973242774,0.9567062767873596,0.7920015349206386,0.8224834028744732
233,PA,Median Income,29451,RGNN,3,0.7062843548314381,0.9522597980062179,0.7918932625104391,0.8224834028744732
