,urban_area,target_variable,target_entity,num_datapoints,model_embeddings,trial,train_f1,val_f1,test_f1,train_score,val_score,test_score
73,Philadelphia,Median Income,bg,29555,NoPreTrain,3,0.9774881516587678,0.6914893617021277,0.6914893617021277,0.9978086184047977,0.7496479050349578,0.7457371359589556
74,Philadelphia,Median Income,bg,29555,NoPreTrain,4,0.9887440758293838,0.6968085106382979,0.7109929078014184,0.9993317760158128,0.7398898445752227,0.7671269050852574
75,Philadelphia,Median Income,bg,29555,NoPreTrain,5,0.9715639810426541,0.7074468085106383,0.6524822695035462,0.9969564924417691,0.7444419294804085,0.7223102459634827
76,Philadelphia,Median Income,bg,29555,NoPreTrain,6,0.9816350710900474,0.6879432624113475,0.7021276595744681,0.9987856854068866,0.7169659473869525,0.7572933957044413
77,Philadelphia,Median Income,bg,29555,NoPreTrain,7,0.9484597156398105,0.7039007092198581,0.6985815602836879,0.988457694121875,0.7566898043357979,0.7575071676475027
78,Philadelphia,Median Income,bg,29555,NoPreTrain,8,0.9976303317535545,0.675531914893617,0.7074468085106383,0.9999831540172054,0.7334892611035662,0.7530682561239375
79,Philadelphia,Median Income,bg,29555,NoPreTrain,9,0.9828199052132701,0.6595744680851063,0.6666666666666666,0.9989850295366232,0.720776117901514,0.7239826970474322
80,Philadelphia,Median Home Value,bg,29566,Emb,0,0.9988235294117647,0.8221830985915493,0.8186619718309859,0.9995211072664358,0.8939508530053561,0.8701646498710575
81,Philadelphia,Median Home Value,bg,29566,Emb,1,1.0,0.7975352112676056,0.8098591549295775,1.0,0.8637051180321365,0.8772564967268399
82,Philadelphia,Median Home Value,bg,29566,Emb,2,0.9958823529411764,0.7852112676056338,0.7904929577464789,0.999759169550173,0.862676056338028,0.8661599880975998
83,Philadelphia,Median Home Value,bg,29566,Emb,3,0.9982352941176471,0.7693661971830986,0.7975352112676056,0.9989660899653979,0.8509906268597501,0.8693401606824042
84,Philadelphia,Median Home Value,bg,29566,Emb,4,0.9994117647058823,0.8133802816901409,0.8186619718309859,0.9989854671280276,0.8787133009323548,0.8742189049791708
85,Philadelphia,Median Home Value,bg,29566,Emb,5,0.9958823529411764,0.8169014084507042,0.8098591549295775,0.9989965397923876,0.880325084308669,0.8873611386629637
86,Philadelphia,Median Home Value,bg,29566,Emb,6,0.9982352941176471,0.8133802816901409,0.8133802816901409,0.9991778546712803,0.8936222971632614,0.8745474608212656
87,Philadelphia,Median Home Value,bg,29566,Emb,7,0.9988235294117647,0.778169014084507,0.7816901408450704,1.0,0.8796803709581432,0.8775478575679428
88,Philadelphia,Median Home Value,bg,29566,Emb,8,1.0,0.8221830985915493,0.801056338028169,1.0,0.894242213846459,0.8701646498710573
89,Philadelphia,Median Home Value,bg,29566,Emb,9,0.9988235294117647,0.8028169014084507,0.795774647887324,0.999678892733564,0.8887063578655029,0.8803188851418369
90,Philadelphia,Median Home Value,bg,29566,RGNN,0,0.8570588235294118,0.8080985915492958,0.7852112676056338,0.941031141868512,0.8958415988891094,0.8765249950406665
91,Philadelphia,Median Home Value,bg,29566,RGNN,1,0.8241176470588235,0.7940140845070423,0.7658450704225352,0.9165148788927335,0.8675981948026186,0.8609154929577465
92,Philadelphia,Median Home Value,bg,29566,RGNN,2,0.8588235294117647,0.8045774647887324,0.7975352112676056,0.9285771626297576,0.8816951001785359,0.879488196786352
93,Philadelphia,Median Home Value,bg,29566,RGNN,3,0.86,0.7746478873239436,0.8063380281690141,0.9328996539792388,0.8548527077960723,0.8944653838524103
94,Philadelphia,Median Home Value,bg,29566,RGNN,4,0.8488235294117648,0.7992957746478874,0.7922535211267606,0.9253480968858131,0.8743800833168023,0.8778144217417179
95,Philadelphia,Median Home Value,bg,29566,RGNN,5,0.8676470588235294,0.8345070422535211,0.8116197183098591,0.9301743944636679,0.9113023209680619,0.8857121602856577
96,Philadelphia,Median Home Value,bg,29566,RGNN,6,0.8605882352941177,0.7764084507042254,0.8045774647887324,0.9359667820069203,0.8665195397738545,0.8697679031938108
97,Philadelphia,Median Home Value,bg,29566,RGNN,7,0.8641176470588235,0.8221830985915493,0.8309859154929577,0.9411141868512111,0.8927048204721284,0.90236312239635
98,Philadelphia,Median Home Value,bg,29566,RGNN,8,0.8429411764705882,0.7887323943661971,0.7429577464788732,0.9440802768166091,0.8966970839119222,0.8701522515373933
99,Philadelphia,Median Home Value,bg,29566,RGNN,9,0.8541176470588235,0.8080985915492958,0.801056338028169,0.9188359861591693,0.8815339218409046,0.877516861733783
100,Philadelphia,Median Home Value,bg,29566,Feat-RGNN,0,0.8605882352941177,0.8186619718309859,0.7816901408450704,0.9544761245674741,0.9087792600674469,0.8796989684586392
101,Philadelphia,Median Home Value,bg,29566,Feat-RGNN,1,0.8823529411764706,0.801056338028169,0.772887323943662,0.955840830449827,0.8821042451894465,0.8704622098789924
102,Philadelphia,Median Home Value,bg,29566,Feat-RGNN,2,0.7964705882352942,0.7658450704225352,0.7834507042253521,0.8933702422145329,0.8745908549890895,0.8779879984130133
103,Philadelphia,Median Home Value,bg,29566,Feat-RGNN,3,0.8541176470588235,0.7764084507042254,0.7904929577464789,0.9346685121107267,0.8658996230906566,0.8740949216425312
104,Philadelphia,Median Home Value,bg,29566,Feat-RGNN,4,0.8323529411764706,0.7940140845070423,0.8133802816901409,0.9321411764705883,0.8871379686570124,0.891787343780996
105,Philadelphia,Median Home Value,bg,29566,Feat-RGNN,5,0.8658823529411764,0.8133802816901409,0.8080985915492958,0.9350588235294116,0.9088350525689347,0.8846211069232296
